Date,Price
21/11/08,38763.73
24/11/08,41042.75
25/11/08,40942.95
26/11/08,40198.44
27/11/08,40272.65
28/11/08,40806.45
01/12/08,39172.30
02/12/08,39117.00
03/12/08,38274.19
04/12/08,38531.05
05/12/08,37131.68
08/12/08,38032.58
09/12/08,38057.37
10/12/08,39270.14
11/12/08,40104.49
12/12/08,40045.99
15/12/08,39689.30
16/12/08,40177.32
17/12/08,41499.00
18/12/08,40102.67
19/12/08,39493.37
22/12/08,40743.51
23/12/08,41086.89
24/12/08,41086.89
25/12/08,41086.89
26/12/08,41086.89
29/12/08,42604.10
30/12/08,42152.43
31/12/08,42152.43
01/01/09,42152.43
02/01/09,42474.47
05/01/09,41488.64
06/01/09,41343.71
07/01/09,41419.53
08/01/09,41773.44
09/01/09,40888.28
12/01/09,40394.82
13/01/09,40593.55
14/01/09,40097.42
15/01/09,39714.30
16/01/09,40620.30
19/01/09,40517.12
20/01/09,41988.43
21/01/09,41706.67
22/01/09,42234.60
23/01/09,43086.90
26/01/09,44784.30
27/01/09,43928.14
28/01/09,43795.63
29/01/09,43711.33
30/01/09,45027.92
02/02/09,44838.15
03/02/09,44157.69
04/02/09,44100.65
05/02/09,44868.40
06/02/09,44440.27
09/02/09,43452.25
10/02/09,44368.51
11/02/09,45633.70
12/02/09,46030.60
13/02/09,45465.30
16/02/09,46036.41
17/02/09,48061.20
18/02/09,48127.70
19/02/09,48672.02
20/02/09,49182.97
23/02/09,49021.35
24/02/09,49079.63
25/02/09,48866.29
26/02/09,47251.11
27/02/09,48685.28
02/03/09,48657.33
03/03/09,47487.59
04/03/09,46824.09
05/03/09,47261.45
06/03/09,48381.84
09/03/09,47905.68
10/03/09,46751.79
11/03/09,46648.07
12/03/09,48011.22
13/03/09,47778.08
16/03/09,47193.34
17/03/09,47129.94
18/03/09,45814.79
19/03/09,48207.60
20/03/09,48320.10
23/03/09,47908.65
24/03/09,46852.60
25/03/09,47146.75
26/03/09,47451.99
27/03/09,46731.30
30/03/09,47513.60
31/03/09,46498.63
01/04/09,46904.51
02/04/09,45242.11
03/04/09,45607.48
06/04/09,43556.01
07/04/09,44031.49
08/04/09,44169.40
09/04/09,44033.81
10/04/09,44033.81
13/04/09,44033.81
14/04/09,44281.81
15/04/09,44260.43
16/04/09,43813.68
17/04/09,43403.13
20/04/09,44126.26
21/04/09,44855.21
22/04/09,44592.38
23/04/09,44803.20
24/04/09,45202.58
27/04/09,45601.88
28/04/09,45008.87
29/04/09,45051.73
30/04/09,44299.40
01/05/09,44362.10
04/05/09,44362.10
05/05/09,44863.00
06/05/09,45154.20
07/05/09,44955.68
08/05/09,44696.96
11/05/09,45209.48
12/05/09,45226.44
13/05/09,45932.04
14/05/09,46137.59
15/05/09,45898.71
18/05/09,44106.69
19/05/09,44184.56
20/05/09,44619.20
21/05/09,44416.41
22/05/09,45213.82
25/05/09,45213.82
26/05/09,45270.23
27/05/09,45357.95
28/05/09,45593.69
29/05/09,45960.68
01/06/09,46107.89
